PartNumber,PartName,Description,DamageCategory,risk_level,replacement_interval,boeing_targets,bombardier_targets,mro_targets,geo_targets
822-0314-303,SATELLITE DATA UNIT,"Part Number: 822-0314-303Description: SDU-SATELLITE DATA UNIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
376046-103,LINK ASSEMBLY,"Part Number: 376046-103Description: LINK ASSEMBLY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2LA005163-25,LIGHT ASSY MAP,"Part Number: 2LA005163-25Description: LIGHT ASSY MAP",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
8ES360000-00,BATTERY PACK,"Part Number: 8ES360000-00Description: BATTERY PACK",electrical_systems,High,2 years (or capacity < 80%),"All operators (safety critical), Aging fleet operators",Regional + business aviation electrical needs,"AAR Corp, StandardAero, Electrical component specialists",Harsh electrical environments + older aircraft
GM428-4034-1,LINE ASSY FUEL,"Part Number: GM428-4034-1Description: LINE ASSY FUEL",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
2LA006615-22,LIGHT ASSY NAVIGATI,"Part Number: 2LA006615-22Description: LIGHT, RED, NAVIGATION, WING",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2LA007742-22,LIGHT ASSY,"Part Number: 2LA007742-22Description: LIGHT,REFERENCE EYE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
AL-1235-T-1003B,LAMP ASSY,"Part Number: AL-1235-T-1003BDescription: LAMP, 12MM TRI CURVEDBACK",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
8ES007656-22,CONTROL INDICATION UNIT,"Part Number: 8ES007656-22Description: UNIT, CONTROL INDICATION, LIGHT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
H321DQM,GYROSCOPIC HORIZON,"Part Number: H321DQMDescription: STANDBY ATTITUDE, HORIZON",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
453-6500,NAVELT INTERFACE,"Part Number: 453-6500Description: NAVELT INTERFACE",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
GG436-4002-7,INSULATION JACKET,"Part Number: GG436-4002-7Description: JACKET ASSY INSULAT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
AE712890-1,HYDRO HOSE,"Part Number: AE712890-1Description: HOSE, FLEX, HYDRAULIC",hydraulic_systems,High,"5,000hrs (efficiency < 80%)","Heavy operators (FedEx, UPS), High-utilization 737s",Regional high-frequency operators,"AAR Corp, StandardAero, Component repair specialists",High-cycle operations + temperature extremes
724866-805BK,HANDSET,"Part Number: 724866-805BKDescription: HANDSET, COCKPIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GM148-1003-2,FLAP ASSY,"Part Number: GM148-1003-2Description: FLAP ASSY OUTBD RH",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
MXP210-00,SMOKE GOGGLES,"Part Number: MXP210-00Description: SMOKE GOGGLES",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
BR700-710A2-20,ENGINE,"Part Number: BR700-710A2-20Description: SWITCH PRESSURE ENGINE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
PW4060-1,ENGINE,"Part Number: PW4060-1Description: ENGINE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
3050000-5,FIRE EXTINGUIHER,"Part Number: 3050000-5Description: FIRE EXTINGUIHER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
3017600,POWER SECTION,"Part Number: 3017600Description: POWER SECTION",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
3070800-74,CONTROL FUEL ASSY MAIN TURBINE ENGINE,"Part Number: 3070800-74Description: CONTROL FUEL ASSY MAIN TURBINE ENGINE",pneumatic_systems,High,"6,000hrs (vibration monitoring)","High-altitude operators, Environmental control critical","Regional operators, Pressurization-dependent routes","Lufthansa Technik, Heavy maintenance specialists",High-altitude routes + extreme temperature operations
2080M35G11,NOZZLE,"Part Number: 2080M35G11Description: H.P.T. NOZZLE SEGMEN",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
2119584-4,"CONTROL UNIT, APU","Part Number: 2119584-4Description: ELECTRONIC CONTROL UNIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
1152426-245,APU START CONVERTER,"Part Number: 1152426-245Description: APU STARTER CONTROL UNIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2704554-2,STARTER MOTOR,"Part Number: 2704554-2Description: STARTER MOTOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
1151952-18,STDBY PWR CTRL UNIT,"Part Number: 1151952-18Description: STANDBY POWER CONTROL UNIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
70720860-1,"ELECTRONIC CONTROL UNIT, APU","Part Number: 70720860-1Description: ELECTRONIC CONTROL UNIT, APU",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
BA03604,GENERATOR,"Part Number: BA03604Description: GENERATOR-APU",hydraulic_systems,High,"5,000hrs (efficiency < 80%)","Heavy operators (FedEx, UPS), High-utilization 737s",Regional high-frequency operators,"AAR Corp, StandardAero, Component repair specialists",High-cycle operations + temperature extremes
3876287-1,MODULE DATA MEMORY,"Part Number: 3876287-1Description: MODULE-DATA MEMORY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
3883297-7,FLOW DIVIDER ASSY,"Part Number: 3883297-7Description: FLOW DIVIDER ASSY",interior_components,Low,On-condition,"Low-cost carriers, High-density operators, Charter airlines","Regional airlines, Business aviation interiors","Timco, ST Aerospace, Interior specialists, MRO facilities",High-passenger-turnover routes + wear-intensive operations
519858-8,MOTOR STARTER,"Part Number: 519858-8Description: MOTOR-ENGINE STARTER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
3885091-4,VALVE SHUTOFF,"Part Number: 3885091-4Description: VALVE SHUTOFF",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
3876223-1,"TRANSDUCER, MOTIONAL PICKUP","Part Number: 3876223-1Description: TRANSDUCER, MOTIONAL PICKUP",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
3876046-4,SOLENOID VALVE,,fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
622-6137-201,RECEIVER ASSY,"Part Number: 622-6137-201Description: VOR/LOC/GS/MB RECEIVER VIR-32",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
4923T56G05,FAN BLADE,"Part Number: 4923T56G05Description: FAN BLADE",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
622-9210-003,TRANSPONDER,"Part Number: 622-9210-003Description: TRANSPONDER, ATC MODE S (TDR-94D)",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
102AU1AF,SENSOR,"Part Number: 102AU1AFDescription: SENSOR-TOTAL TEMPERATURE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
622-7292-101,TRANSCEIVER,"Part Number: 622-7292-101Description: TRANSCEIVER, VHF COMM",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
805813-1-005,CONTROL,"Part Number: 805813-1-005Description: CONTROL ENGINE ELECTRONIC",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
0871BN8-1,ICE DETECTOR,"Part Number: 0871BN8-1Description: ICE DETECTOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
782477-1,TORQUE MOTOR,"Part Number: 782477-1Description: TORQUE MOTOR SPEED BIAS",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
90002317-2WTA,WHEEL MAIN,"Part Number: 90002317-2WTADescription: EJET WHEEL WITH RUBBER",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
S5307300001400,TAIL CONE ASSY,"Part Number: S5307300001400Description: TAIL CONE ASSY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
58311-007,CARTRIDGE,"Part Number: 58311-007Description: CARTRIDGE (KIDDE-GRAVINER)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
58341-001,FUSE,"Part Number: 58341-001Description: FUSE (KIDDE-GRAVINER)",electrical_systems,High,2 years (or capacity < 80%),"All operators (safety critical), Aging fleet operators",Regional + business aviation electrical needs,"AAR Corp, StandardAero, Electrical component specialists",Harsh electrical environments + older aircraft
48553-121,PRESSURE RELIEF PLUG ASSY (KG),"Part Number: 48553-121Description: PRESSURE RELIEF PLUG ASSY (KG)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
51653-274,FIREWIRE CONTROL UNIT,"Part Number: 51653-274Description: FIREWIRE CONTROL UNIT (KG)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
472420-2,FIRE EXTINGUISHER,,other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
892480,AIRCRAFT FIREX LIQUID TYPE,"Part Number: 892480Description: AIRCRAFT FIREX LIQUID TYPE",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
466090,"FIREX, PORTABLE","Part Number: 466090Description: FIREX, PORTABLE (HALON 1211)",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
476288,EXTINGUISHER 5,"Part Number: 476288Description: EXTINGUISHER 5 B:C HALOTRON BrX",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
G825100-3,"FIREX, DISPOSABLE","Part Number: G825100-3Description: FIREX, DISPOSABLE (POTTY)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
878562-2,"CARTRIDGE, DEVICE","Part Number: 878562-2Description: CARTRIDGE, DEVICE (SMALL CUP)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
878238-02,"FIRE DET, PLUG CONNECTOR","Part Number: 878238-02Description: FIRE DET, PLUG CONNECTOR",electrical_systems,High,2 years (or capacity < 80%),"All operators (safety critical), Aging fleet operators",Regional + business aviation electrical needs,"AAR Corp, StandardAero, Electrical component specialists",Harsh electrical environments + older aircraft
10-1096-02,DETECTOR / 5’LG,"Part Number: 10-1096-02Description: DETECTOR / 5'LG / (APD) MODEL 101",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
10-1099-01,DETECTOR /10’LG,"Part Number: 10-1099-01Description: DETECTOR /10'LG/(APD)MODEL 101",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
10-1098-01,DETECTOR /28’LG,"Part Number: 10-1098-01Description: DETECTOR /28'LG/(APD)MODEL 101",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
10-1097-02,DETECTOR/26’LG,"Part Number: 10-1097-02Description: DETECTOR/26'LG/ (APD)MODEL 101",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
446518-1,"CARTRIDGE,POWER DEVICE","Part Number: 446518-1Description: CARTRIDGE,POWER DEVICE/1AMP/1W",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
473919-1,FIREX,"Part Number: 473919-1Description: FIREX, 378 CU.IN. DUAL OUTLET",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
473916-3,FIREX,"Part Number: 473916-3Description: FIREX, 125 CU.IN. DUAL OUTLET",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
472247-1,PRESSURE SWITCH,"Part Number: 472247-1Description: PRESSURE SWITCH, TEMPERATURE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
800275,BRACKET-UPPER,"Part Number: 800275Description: BRACKET-UPPER AIRCRAFT TYPE",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
424634,CARTRIDGE 20PC,"Part Number: 424634Description: CARTRIDGE 20PC PACKAGE KIT 1.4C AS 1.4S",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
G825100-4,FIREX,"Part Number: G825100-4Description: FIREX, DISPOSABLE (POTTY)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
475089-1,FIREX 224 CU,"Part Number: 475089-1Description: FIREX 224 CU IN DUAL OUTLET",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
474158-3,FIREX,"Part Number: 474158-3Description: FIREX DUAL OUTLET 1400 CU IN",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
PT6A-114A,ENGINE NEW 675 HP,,other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
